0.363956	0.00625844	51
0.475552	0.00431964	94
0.517204	0.00404581	112
0.471656	0.00301211	123
0.427149	0.00276893	123
0.420201	0.00318287	112
0.429758	0.0045314	94
0.305103	0.00515969	51
0.358929	0.00479173	51
0.475544	0.0032327	94
0.508175	0.00283997	112
0.467212	0.002218	123
0.423638	0.00197673	123
0.416784	0.00236861	112
0.418943	0.00340394	94
0.298546	0.0048558	51
0.358344	0.00436186	51
0.468915	0.00302499	94
0.509794	0.00284437	112
0.462647	0.00213577	123
0.427774	0.00214192	123
0.417551	0.00260543	112
0.420998	0.00366301	94
0.298029	0.00558241	51
0.357667	0.00837336	51
0.455686	0.00606561	94
0.518361	0.00551219	112
0.483575	0.00437045	123
0.448593	0.00402703	123
0.429489	0.00481744	112
0.427807	0.00643863	94
0.306089	0.00839937	51
0.365719	0.00347157	51
0.482319	0.0026461	94
0.520455	0.00242608	112
0.490037	0.00187932	123
0.455189	0.00180923	123
0.440261	0.00202563	112
0.446014	0.00258878	94
0.301352	0.00338369	51
0.362504	0.00335903	51
0.481115	0.00257223	94
0.518764	0.00239307	112
0.479755	0.00184962	123
0.443093	0.00177179	123
0.425897	0.00202667	112
0.427046	0.00269177	94
0.298099	0.00370028	51
0.340318	0.0111012	51
0.457482	0.00758306	94
0.484239	0.00684213	112
0.473512	0.00609598	123
0.432697	0.00580194	123
0.420911	0.00726804	112
0.410811	0.00885092	94
0.284865	0.0128097	51
0.462582	0.0499112	51
0.482106	0.018597	94
0.52291	0.0200534	112
0.507006	0.0150651	123
0.44377	0.0133604	123
0.387052	0.0143293	112
0.423828	0.0202882	94
0.276935	0.0422834	51
0.376942	0.00909981	51
0.481449	0.00571646	94
0.512106	0.00558678	112
0.479613	0.00417223	123
0.446569	0.00420864	123
0.428904	0.00452091	112
0.424046	0.00612579	94
0.300457	0.00881552	51
0.359163	0.0149855	51
0.464478	0.0100231	94
0.495946	0.00958726	112
0.476886	0.00764107	123
0.442981	0.00750276	123
0.428115	0.00822093	112
0.416873	0.0100969	94
0.344022	0.0206539	51
0.371385	0.0188136	51
0.453532	0.0101965	94
0.523287	0.0099001	112
0.469904	0.00766404	123
0.424398	0.00594481	123
0.424262	0.00774147	112
0.420665	0.00943031	94
0.292492	0.0143777	51
